blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
,,,,,,,Pentanet.GG,Royal Never Give Up,red_side,blue_side
Gnar,Renekton,Sion,Sylas,11.9,,,,,,
Varus,Lee Sin,Rumble,Udyr,11.9,,,,,,
Thresh,Senna,Kindred,Lucian,11.9,,,,,,
Karma,Viktor,Kalista,Kaisa,11.9,,,,,,
Alistar,Tristana,Nautilus,Leona,11.9,,,,,,
,,,,,,,Cloud9,MAD Lions,red_side,blue_side
Lee Sin,Renekton,Aatrox,Sion,11.9,,,,,,
Nidalee,Lucian,Udyr,Morgana,11.9,,,,,,
Urgot,Gnar,Sylas,Zed,11.9,,,,,,
Nocturne,Jayce,Aphelios,Kaisa,11.9,,,,,,
Qiyana,Sett,Thresh,Nautilus,11.9,,,,,,
,,,,,,,PSG Talon,Pentanet.GG,blue_side,red_side
Senna,Gnar,Lucian,Malphite,11.9,,,,,,
Renekton,Varus,Udyr,Morgana,11.9,,,,,,
Thresh,Nautilus,Orianna,Lee Sin,11.9,,,,,,
Alistar,Leona,Kaisa,Tristana,11.9,,,,,,
Galio,Sett,Gragas,Rell,11.9,,,,,,
,,,,,,,Royal Never Give Up,Cloud9,blue_side,red_side
Senna,Thresh,Gnar,Sion,11.9,,,,,,
Lee Sin,Varus,Udyr,Morgana,11.9,,,,,,
Lucian,Renekton,Akali,Sylas,11.9,,,,,,
Nautilus,Orianna,Tristana,Kaisa,11.9,,,,,,
Alistar,Zoe,Rakan,Leona,11.9,,,,,,
,,,,,,,PSG Talon,DWG KIA,red_side,blue_side
Renekton,Lucian,Gnar,Urgot,11.9,,,,,,
Thresh,Lee Sin,Rumble,Udyr,11.9,,,,,,
Fiddlesticks,Senna,Orianna,Kassadin,11.9,,,,,,
Viktor,Tristana,Vayne,Kaisa,11.9,,,,,,
Nautilus,Lulu,Leona,Galio,11.9,,,,,,
,,,,,,,MAD Lions,Pentanet.GG,blue_side,red_side
Renekton,Senna,Sion,Gragas,11.9,,,,,,
Thresh,Morgana,Udyr,Olaf,11.9,,,,,,
Varus,Rumble,Lucian,Orianna,11.9,,,,,,
Viktor,Leona,Tristana,Kaisa,11.9,,,,,,
Lee Sin,Alistar,Sett,Nautilus,11.9,,,,,,
,,,,,,,DWG KIA,Royal Never Give Up,red_side,blue_side
Lee Sin,Gnar,Gangplank,Sion,11.9,,,,,,
Renekton,Udyr,Morgana,Rumble,11.9,,,,,,
Tahm Kench,Zoe,Syndra,Lucian,11.9,,,,,,
Jayce,Viktor,Kalista,Varus,11.9,,,,,,
Irelia,Orianna,Nautilus,Thresh,11.9,,,,,,
,,,,,,,Infinity eSports,Cloud9,red_side,blue_side
Senna,Urgot,Nocturne,Gnar,11.9,,,,,,
Thresh,Morgana,Udyr,Diana,11.9,,,,,,
Varus,Renekton,Syndra,Yasuo,11.9,,,,,,
Viktor,Leona,Tristana,Kaisa,11.9,,,,,,
Sylas,Alistar,Sett,Nautilus,11.9,,,,,,
,,,,,,,Detonation FocusMe,DWG KIA,red_side,blue_side
Gnar,Senna,Sion,Sett,11.9,,,,,,
Urgot,Lee Sin,Morgana,Rumble,11.9,,,,,,
Udyr,Renekton,Yone,Zoe,11.9,,,,,,
Nocturne,Sylas,Kaisa,Tristana,11.9,,,,,,
Jayce,Lucian,Nautilus,Alistar,11.9,,,,,,
,,,,,,,Cloud9,Detonation FocusMe,blue_side,red_side
Thresh,Senna,Gnar,Jayce,11.9,,,,,,
Lee Sin,Varus,Udyr,Rumble,11.9,,,,,,
Morgana,Renekton,Orianna,Zoe,11.9,,,,,,
Lucian,Leona,Kaisa,Tristana,11.9,,,,,,
Nocturne,Sett,Rell,Nautilus,11.9,,,,,,
,,,,,,,DWG KIA,Infinity eSports,blue_side,red_side
Thresh,Renekton,Gnar,Lee Sin,11.9,,,,,,
Xayah,Rumble,Udyr,Volibear,11.9,,,,,,
Zoe,Morgana,LeBlanc,Syndra,11.9,,,,,,
Sylas,Ryze,Tristana,Kaisa,11.9,,,,,,
Viktor,Sett,Alistar,Nautilus,11.9,,,,,,
,,,,,,,Detonation FocusMe,Infinity eSports,blue_side,red_side
Gnar,Thresh,Lee Sin,Jayce,11.9,,,,,,
Varus,Morgana,Udyr,Rumble,11.9,,,,,,
Renekton,Senna,Viktor,Sylas,11.9,,,,,,
Nocturne,Leona,Tristana,Kaisa,11.9,,,,,,
Sett,Kalista,Alistar,Nautilus,11.9,,,,,,
,,,,,,,Cloud9,DWG KIA,blue_side,red_side
Senna,Renekton,Sion,Jayce,11.9,,,,,,
Lee Sin,Thresh,Rumble,Morgana,11.9,,,,,,
Varus,Zoe,Syndra,Lucian,11.9,,,,,,
Wukong,Viktor,Tristana,Kaisa,11.9,,,,,,
Alistar,Nocturne,Leona,Nautilus,11.9,,,,,,
,,,,,,,PSG Talon,MAD Lions,red_side,blue_side
Senna,Morgana,Sett,Renekton,11.9,,,,,,
Kaisa,Rumble,Udyr,Volibear,11.9,,,,,,
Lee Sin,Draven,Zoe,Orianna,11.9,,,,,,
Nautilus,Gnar,Jinx,Kalista,11.9,,,,,,
Samira,Varus,Thresh,Blitzcrank,11.9,,,,,,
,,,,,,,paiN Gaming,Istanbul Wildcats,blue_side,red_side
Senna,Draven,Renekton,Gnar,11.9,,,,,,
Tristana,Thresh,Morgana,Rumble,11.9,,,,,,
Kaisa,Zoe,Syndra,Lucian,11.9,,,,,,
Ezreal,Irelia,Jhin,Varus,11.9,,,,,,
Leona,Wukong,Alistar,Tahm Kench,11.9,,,,,,
,,,,,,,paiN Gaming,MAD Lions,red_side,blue_side
Thresh,Senna,Gnar,Jayce,11.9,,,,,,
Rumble,Renekton,Olaf,Volibear,11.9,,,,,,
Morgana,Udyr,Orianna,Azir,11.9,,,,,,
Sylas,Alistar,Kaisa,Tristana,11.9,,,,,,
Zoe,Rell,Nautilus,Leona,11.9,,,,,,
,,,,,,,Istanbul Wildcats,PSG Talon,red_side,blue_side
Draven,Renekton,Jayce,Gnar,11.9,,,,,,
Alistar,Rumble,Udyr,Lillia,11.9,,,,,,
Camille,Morgana,Zoe,LeBlanc,11.9,,,,,,
Lucian,Sylas,Aphelios,Kaisa,11.9,,,,,,
Irelia,Ryze,Thresh,Nautilus,11.9,,,,,,
,,,,,,,PSG Talon,paiN Gaming,blue_side,red_side
Renekton,Morgana,Lee Sin,Urgot,11.9,,,,,,
Nocturne,Rumble,Olaf,Volibear,11.9,,,,,,
Udyr,Varus,Zoe,Orianna,11.9,,,,,,
Sett,Lillia,Tristana,Kaisa,11.9,,,,,,
Alistar,Viktor,Nautilus,Leona,11.9,,,,,,
,,,,,,,MAD Lions,Istanbul Wildcats,red_side,blue_side
Udyr,Nidalee,Gnar,Jayce,11.9,,,,,,
Urgot,Rumble,KhaZix,Karthus,11.9,,,,,,
Amumu,Morgana,Viktor,Lee Sin,11.9,,,,,,
Orianna,Sylas,Kaisa,Xayah,11.9,,,,,,
Ryze,Syndra,Alistar,Nautilus,11.9,,,,,,
,,,,,,,Unicorns Of Love,Pentanet.GG,red_side,blue_side
Lucian,Morgana,Urgot,Gnar,11.9,,,,,,
Lee Sin,Nidalee,Rumble,Udyr,11.9,,,,,,
Leona,Varus,Orianna,Ryze,11.9,,,,,,
Syndra,Xayah,Vayne,Kaisa,11.9,,,,,,
Sylas,Tristana,Alistar,Nautilus,11.9,,,,,,
,,,,,,,Pentanet.GG,Royal Never Give Up,red_side,blue_side
Lucian,Udyr,Sett,Nocturne,11.9,,,,,,
Rumble,Morgana,Nidalee,Lee Sin,11.9,,,,,,
Alistar,Varus,Zed,Vladimir,11.9,,,,,,
Karthus,Renekton,Samira,Kaisa,11.9,,,,,,
Orianna,Urgot,Galio,Nautilus,11.9,,,,,,
,,,,,,,Pentanet.GG,Unicorns Of Love,blue_side,red_side
Renekton,Tristana,Lucian,Gnar,11.9,,,,,,
Nocturne,Udyr,Rumble,Nidalee,11.9,,,,,,
Morgana,Kaisa,Ryze,Orianna,11.9,,,,,,
Jayce,Sylas,Kalista,Varus,11.9,,,,,,
Wukong,Lee Sin,Nautilus,Alistar,11.9,,,,,,
,,,,,,,Royal Never Give Up,Unicorns Of Love,blue_side,red_side
Ahri,Lucian,Gnar,Urgot,11.9,,,,,,
Renekton,Rumble,Volibear,Nidalee,11.9,,,,,,
Morgana,Udyr,Syndra,Qiyana,11.9,,,,,,
Lee Sin,Jayce,Varus,Kaisa,11.9,,,,,,
Viktor,Sylas,Leona,Nautilus,11.9,,,,,,
,,,,,,,Royal Never Give Up,Pentanet.GG,blue_side,red_side
