blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Gwen,Ahri,Karma,Thresh,12.4,,,,
,,,,,Dignitas,Team Liquid,red_side,blue_side
Ahri,Ryze,Akali,Gwen,12.4,,,,
Hecarim,Zeri,Lee Sin,Viego,12.4,,,,
Jinx,Gnar,Viktor,Corki,12.4,,,,
Xin Zhao,Gragas,Aphelios,Jhin,12.4,,,,
Tryndamere,Jayce,Rakan,Tahm Kench,12.4,,,,
,,,,,Evil Geniuses,FlyQuest,blue_side,red_side
Ahri,Zeri,Gangplank,Akali,12.4,,,,
Udyr,Yuumi,Gwen,Xin Zhao,12.4,,,,
Jinx,Hecarim,Ryze,Orianna,12.4,,,,
Viego,Kennen,Jhin,Caitlyn,12.4,,,,
Volibear,Lee Sin,Tahm Kench,Karma,12.4,,,,
,,,,,CLG,Immortals,red_side,blue_side
Sett,Zeri,Gwen,Tryndamere,12.4,,,,
Tahm Kench,Ryze,Jarvan IV,Lee Sin,12.4,,,,
Caitlyn,Corki,Viktor,Ahri,12.4,,,,
Xin Zhao,Kalista,Jhin,Jinx,12.4,,,,
Volibear,Aphelios,Nautilus,Thresh,12.4,,,,
,,,,,TSM,100 Thieves,red_side,blue_side
Jayce,Zeri,Gnar,Viego,12.4,,,,
Graves,Gwen,Xin Zhao,Hecarim,12.4,,,,
Corki,Tahm Kench,Ryze,Twisted Fate,12.4,,,,
Gangplank,Jarvan IV,Jinx,Caitlyn,12.4,,,,
No ban,Qiyana,Thresh,Lux,12.4,,,,
,,,,,Golden Guardians,Team Liquid,blue_side,red_side
Karma,Caitlyn,Gnar,Jayce,12.4,,,,
Jarvan IV,Zeri,Hecarim,Lee Sin,12.4,,,,
Tahm Kench,Gwen,Ahri,Zoe,12.4,,,,
Ryze,Camille,Jinx,Aphelios,12.4,,,,
Sylas,Irelia,Leona,Thresh,12.4,,,,
,,,,,Cloud9,Dignitas,blue_side,red_side
Corki,Gwen,Camille,Jayce,12.3,,,,
Zilean,Hecarim,Xin Zhao,Trundle,12.3,,,,
Caitlyn,Zeri,Ahri,Viktor,12.3,,,,
Veigar,Rakan,Jinx,Varus,12.3,,,,
Renekton,Kennen,Lulu,Tahm Kench,12.3,,,,
