blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
Kalista,Zeri,Gangplank,Gwen,12.11,,,,
Corki,Ezreal,Wukong,Viego,12.11,,,,
Lucian,Senna,Sylas,Orianna,12.11,,,,
Fiora,LeBlanc,Miss Fortune,Xayah,12.11,,,,
Azir,Sejuani,Rakan,Alistar,12.11,,,,
,,,,,Evil Geniuses,Immortals,blue_side,red_side
Draven,Rumble,Gnar,Olaf,12.11,,,,
Wukong,Gragas,Viego,Volibear,12.11,,,,
Lucian,Zeri,Zoe,Azir,12.11,,,,
Twisted Fate,Ahri,Kalista,Ezreal,12.11,,,,
Corki,LeBlanc,Renata Glasc,Bard,12.11,,,,
,,,,,TSM,Team Liquid,blue_side,red_side
Fiora,Zeri,Ornn,Gnar,12.11,,,,
Wukong,Senna,Lee Sin,Volibear,12.11,,,,
Karma,Viego,Corki,Azir,12.11,,,,
Kayle,Trundle,Lucian,Kalista,12.11,,,,
Gwen,Gangplank,Nami,Renata Glasc,12.11,,,,
,,,,,100 Thieves,Golden Guardians,blue_side,red_side
Ezreal,Zeri,Gangplank,Kayle,12.11,,,,
Draven,Lillia,Volibear,Wukong,12.11,,,,
Kalista,Corki,Azir,LeBlanc,12.11,,,,
Fiora,Trundle,Lucian,Tahm Kench,12.11,,,,
Viktor,Udyr,Nami,Senna,12.11,,,,
,,,,,Dignitas,Cloud9,red_side,blue_side
Rumble,Zeri,Fiora,Vladimir,12.11,,,,
Twisted Fate,Wukong,Nocturne,Viego,12.11,,,,
Ezreal,Kalista,Azir,Corki,12.11,,,,
Zoe,Lee Sin,Tahm Kench,Lucian,12.11,,,,
Viktor,Kindred,Senna,Nami,12.11,,,,
,,,,,Immortals,TSM,red_side,blue_side
Seraphine,Gnar,Fiora,Jayce,12.11,,,,
Kalista,Zeri,Wukong,Viego,12.11,,,,
Senna,Lucian,Azir,Taliyah,12.11,,,,
Nautilus,Zoe,Ezreal,Sivir,12.11,,,,
Karma,Orianna,Yuumi,Sona,12.11,,,,
,,,,,Golden Guardians,CLG,red_side,blue_side
Gragas,Zeri,Swain,Gangplank,12.11,,,,
Senna,Lucian,Wukong,Volibear,12.11,,,,
Fiora,Kalista,LeBlanc,Corki,12.11,,,,
Gwen,Karma,Ezreal,Twitch,12.11,,,,
Kayle,Olaf,Bard,Yuumi,12.11,,,,
,,,,,Team Liquid,Cloud9,blue_side,red_side
Karma,Zeri,Vladimir,Gangplank,12.11,,,,
Viego,Lucian,Wukong,Lillia,12.11,,,,
Senna,Azir,Ahri,Lissandra,12.11,,,,
Yone,Aatrox,Twitch,Ezreal,12.11,,,,
Irelia,LeBlanc,Yuumi,Sona,12.11,,,,
,,,,,FlyQuest,Evil Geniuses,red_side,blue_side
Kalista,Zeri,Fiora,Sejuani,12.11,,,,
Corki,Lucian,Viego,Wukong,12.11,,,,
Karma,Senna,Ahri,Azir,12.11,,,,
